Date,PE
1-Feb-15,19.96
1-Jan-15,19.14
1-Dec-14,19.39
1-Nov-14,19.3
1-Oct-14,18.28
1-Sep-14,18.81
1-Aug-14,18.68
1-Jul-14,18.96
1-Jun-14,18.88
1-May-14,18.46
1-Apr-14,18.35
1-Mar-14,18.48
1-Feb-14,18.06
1-Jan-14,18.15
1-Dec-13,18.04
1-Nov-13,18.15
1-Oct-13,17.86
1-Sep-13,17.88
1-Aug-13,17.91
1-Jul-13,18.12
1-Jun-13,17.8
1-May-13,18.25
1-Apr-13,17.69
1-Mar-13,17.68
1-Feb-13,17.32
1-Jan-13,17.03
1-Dec-12,16.44
1-Nov-12,16.12
1-Oct-12,16.62
1-Sep-12,16.69
1-Aug-12,16.14
1-Jul-12,15.55
1-Jun-12,15.05
1-May-12,15.22
1-Apr-12,15.7
1-Mar-12,15.69
1-Feb-12,15.37
1-Jan-12,14.87
1-Dec-11,14.3
1-Nov-11,14.1
1-Oct-11,13.88
1-Sep-11,13.5
1-Aug-11,13.79
1-Jul-11,15.61
1-Jun-11,15.35
1-May-11,16.12
1-Apr-11,16.21
1-Mar-11,16.04
1-Feb-11,16.52
1-Jan-11,16.3
1-Dec-10,16.05
1-Nov-10,15.88
1-Oct-10,15.9
1-Sep-10,15.61
1-Aug-10,15.47
1-Jul-10,15.72
1-Jun-10,16.15
1-May-10,17.3
1-Apr-10,19.01
1-Mar-10,18.91
1-Feb-10,18.91
1-Jan-10,20.7
1-Dec-09,21.78
1-Nov-09,28.51
1-Oct-09,42.12
1-Sep-09,83.3
1-Aug-09,92.95
1-Jul-09,101.87
1-Jun-09,123.32
1-May-09,123.73
1-Apr-09,119.85
1-Mar-09,110.37
1-Feb-09,84.46
1-Jan-09,70.91
1-Dec-08,58.98
1-Nov-08,34.99
1-Oct-08,27.22
1-Sep-08,26.48
1-Aug-08,26.83
1-Jul-08,25.37
1-Jun-08,26.11
1-May-08,25.81
1-Apr-08,23.88
1-Mar-08,21.81
1-Feb-08,21.74
1-Jan-08,21.46
1-Dec-07,22.35
1-Nov-07,20.81
1-Oct-07,20.68
1-Sep-07,19.05
1-Aug-07,18.02
1-Jul-07,18.36
1-Jun-07,17.83
1-May-07,17.92
1-Apr-07,17.48
1-Mar-07,16.92
1-Feb-07,17.49
1-Jan-07,17.36
1-Dec-06,17.38
1-Nov-06,17.24
1-Oct-06,17.14
1-Sep-06,16.77
1-Aug-06,16.67
1-Jul-06,16.61
1-Jun-06,16.82
1-May-06,17.46
1-Apr-06,17.77
1-Mar-06,17.8
1-Feb-06,17.8
1-Jan-06,18.07
1-Dec-05,18.07
1-Nov-05,18.01
1-Oct-05,17.64
1-Sep-05,18.44
1-Aug-05,18.72
1-Jul-05,19
1-Jun-05,19
1-May-05,18.93
1-Apr-05,19.02
1-Mar-05,19.84
1-Feb-05,20.11
1-Jan-05,19.99
1-Dec-04,20.48
1-Nov-04,20.05
1-Oct-04,19.25
1-Sep-04,19.35
1-Aug-04,19.03
1-Jul-04,19.51
1-Jun-04,20.17
1-May-04,20.14
1-Apr-04,21.23
1-Mar-04,21.62
1-Feb-04,22.46
1-Jan-04,22.73
1-Dec-03,22.17
1-Nov-03,23.15
1-Oct-03,24.75
1-Sep-03,26.42
1-Aug-03,26.57
1-Jul-03,27.65
1-Jun-03,28.6
1-May-03,28.24
1-Apr-03,28.05
1-Mar-03,27.92
1-Feb-03,28.46
1-Jan-03,31.43
1-Dec-02,32.59
1-Nov-02,32.03
1-Oct-02,29.24
1-Sep-02,28.89
1-Aug-02,31.53
1-Jul-02,32.46
1-Jun-02,37.92
1-May-02,41.41
1-Apr-02,43.81
1-Mar-02,46.71
1-Feb-02,44.57
1-Jan-02,46.17
1-Dec-01,46.37
1-Nov-01,43.62
1-Oct-01,39.72
1-Sep-01,36.9
1-Aug-01,37.85
1-Jul-01,35.46
1-Jun-01,33.67
1-May-01,32.02
1-Apr-01,27.96
1-Mar-01,26.1
1-Feb-01,27.81
1-Jan-01,27.55
1-Dec-00,26.62
1-Nov-00,26.9
1-Oct-00,26.5
1-Sep-00,27.34
1-Aug-00,27.97
1-Jul-00,28.05
1-Jun-00,28.16
1-May-00,27.49
1-Apr-00,28.5
1-Mar-00,28.31
1-Feb-00,27.76
1-Jan-00,29.04
1-Dec-99,29.66
1-Nov-99,29.74
1-Oct-99,28.66
1-Sep-99,29.99
1-Aug-99,30.89
1-Jul-99,32.88
1-Jun-99,32.24
1-May-99,33.19
1-Apr-99,34
1-Mar-99,33.39
1-Feb-99,32.67
1-Jan-99,32.92
1-Dec-98,31.56
1-Nov-98,30.25
1-Oct-98,27.2
1-Sep-98,26.8
1-Aug-98,28
1-Jul-98,29.9
1-Jun-98,28.44
1-May-98,28.3
1-Apr-98,28.26
1-Mar-98,27.23
1-Feb-98,25.85
1-Jan-98,24.29
1-Dec-97,24.23
1-Nov-97,23.46
1-Oct-97,23.58
1-Sep-97,23.06
1-Aug-97,22.83
1-Jul-97,22.8
1-Jun-97,21.61
1-May-97,20.6
1-Apr-97,18.94
1-Mar-97,19.69
1-Feb-97,20.09
1-Jan-97,19.53
1-Dec-96,19.19
1-Nov-96,19.45
1-Oct-96,19
1-Sep-96,18.75
1-Aug-96,18.6
1-Jul-96,18.26
1-Jun-96,19.15
1-May-96,19.1
1-Apr-96,18.85
1-Mar-96,19.01
1-Feb-96,19.1
1-Jan-96,18.08
1-Dec-95,18.1
1-Nov-95,17.33
1-Oct-95,16.76
1-Sep-95,16.45
1-Aug-95,16.01
1-Jul-95,16.07
1-Jun-95,15.67
1-May-95,15.5
1-Apr-95,15.31
1-Mar-95,15.15
1-Feb-95,15.11
1-Jan-95,14.89
1-Dec-94,14.88
1-Nov-94,15.62
1-Oct-94,16.32
1-Sep-94,17.09
1-Aug-94,17.44
1-Jul-94,17.42
1-Jun-94,18.05
1-May-94,18.5
1-Apr-94,19
1-Mar-94,20.42
1-Feb-94,21.02
1-Jan-94,21.34
1-Dec-93,21.29
1-Nov-93,21.63
1-Oct-93,22.19
1-Sep-93,22.5
1-Aug-93,22.65
1-Jul-93,22.72
1-Jun-93,23.18
1-May-93,22.83
1-Apr-93,22.53
1-Mar-93,22.69
1-Feb-93,22.55
1-Jan-93,22.5
1-Dec-92,22.82
1-Nov-92,22.56
1-Oct-92,22.43
1-Sep-92,23.2
1-Aug-92,23.6
1-Jul-92,23.88
1-Jun-92,23.95
1-May-92,24.75
1-Apr-92,24.73
1-Mar-92,25.16
1-Feb-92,25.6
1-Jan-92,25.93
1-Dec-91,24.33
1-Nov-91,23.27
1-Oct-91,22.49
1-Sep-91,21.73
1-Aug-91,21.22
1-Jul-91,20.14
1-Jun-91,19.49
1-May-91,18.98
1-Apr-91,18.58
1-Mar-91,17.78
1-Feb-91,17.19
1-Jan-91,15.35
1-Dec-90,15.41
1-Nov-90,14.68
1-Oct-90,14.21
1-Sep-90,14.51
1-Aug-90,15.33
1-Jul-90,16.81
1-Jun-90,16.95
1-May-90,16.37
1-Apr-90,15.7
1-Mar-90,15.62
1-Feb-90,14.97
1-Jan-90,15.13
1-Dec-89,15.24
1-Nov-89,14.7
1-Oct-89,14.84
1-Sep-89,14.66
1-Aug-89,14.32
1-Jul-89,13.43
1-Jun-89,12.84
1-May-89,12.49
1-Apr-89,12.07
1-Mar-89,11.73
1-Feb-89,11.97
1-Jan-89,11.82
1-Dec-88,11.64
1-Nov-88,11.57
1-Oct-88,12.02
1-Sep-88,11.79
1-Aug-88,11.78
1-Jul-88,12.22
1-Jun-88,12.49
1-May-88,12.41
1-Apr-88,13.38
1-Mar-88,14.29
1-Feb-88,14.16
1-Jan-88,14.03
1-Dec-87,13.77
1-Nov-87,14.45
1-Oct-87,17.07
1-Sep-87,20.09
1-Aug-87,21.42
1-Jul-87,20.81
1-Jun-87,20.9
1-May-87,19.73
1-Apr-87,19.46
1-Mar-87,19.37
1-Feb-87,18.87
1-Jan-87,18.01
1-Dec-86,17.17
1-Nov-86,16.79
1-Oct-86,16.12
1-Sep-86,16.05
1-Aug-86,16.55
1-Jul-86,16.27
1-Jun-86,16.68
1-May-86,16.28
1-Apr-86,16.32
1-Mar-86,16
1-Feb-86,15.08
1-Jan-86,14.28
1-Dec-85,14.19
1-Nov-85,13.33
1-Oct-85,12.4
1-Sep-85,12.09
1-Aug-85,12.26
1-Jul-85,12.44
1-Jun-85,12.1
1-May-85,11.65
1-Apr-85,11.2
1-Mar-85,10.95
1-Feb-85,10.98
1-Jan-85,10.36
1-Dec-84,9.89
1-Nov-84,10.01
1-Oct-84,9.93
1-Sep-84,10.03
1-Aug-84,10
1-Jul-84,9.26
1-Jun-84,9.45
1-May-84,9.86
1-Apr-84,10.12
1-Mar-84,10.31
1-Feb-84,10.59
1-Jan-84,11.52
1-Dec-83,11.72
1-Nov-83,11.98
1-Oct-83,12.39
1-Sep-83,12.57
1-Aug-83,12.43
1-Jul-83,13.02
1-Jun-83,13.22
1-May-83,13.1
1-Apr-83,12.64
1-Mar-83,12.23
1-Feb-83,11.75
1-Jan-83,11.48
1-Dec-82,11.03
1-Nov-82,10.66
1-Oct-82,10.02
1-Sep-82,9.03
1-Aug-82,7.97
1-Jul-82,7.83
1-Jun-82,7.74
1-May-82,8.09
1-Apr-82,7.97
1-Mar-82,7.48
1-Feb-82,7.64
1-Jan-82,7.73
1-Dec-81,8.06
1-Nov-81,8.02
1-Oct-81,7.83
1-Sep-81,7.75
1-Aug-81,8.54
1-Jul-81,8.55
1-Jun-81,8.81
1-May-81,8.86
1-Apr-81,9.13
1-Mar-81,9.14
1-Feb-81,8.76
1-Jan-81,9.02
1-Dec-80,9.01
1-Nov-80,9.19
1-Oct-80,8.86
1-Sep-80,8.64
1-Aug-80,8.38
1-Jul-80,8.07
1-Jun-80,7.67
1-May-80,7.15
1-Apr-80,6.79
1-Mar-80,6.85
1-Feb-80,7.61
1-Jan-80,7.39
1-Dec-79,7.25
1-Nov-79,7.02
1-Oct-79,7.1
1-Sep-79,7.42
1-Aug-79,7.45
1-Jul-79,7.23
1-Jun-79,7.27
1-May-79,7.25
1-Apr-79,7.55
1-Mar-79,7.53
1-Feb-79,7.57
1-Jan-79,7.88
1-Dec-78,7.79
1-Nov-78,7.84
1-Oct-78,8.51
1-Sep-78,8.98
1-Aug-78,9.07
1-Jul-78,8.57
1-Jun-78,8.7
1-May-78,8.75
1-Apr-78,8.41
1-Mar-78,8.13
1-Feb-78,8.16
1-Jan-78,8.28
1-Dec-77,8.62
1-Nov-77,8.71
1-Oct-77,8.7
1-Sep-77,8.99
1-Aug-77,9.21
1-Jul-77,9.52
1-Jun-77,9.53
1-May-77,9.58
1-Apr-77,9.72
1-Mar-77,9.98
1-Feb-77,10.08
1-Jan-77,10.41
1-Dec-76,10.57
1-Nov-76,10.34
1-Oct-76,10.54
1-Sep-76,11.05
1-Aug-76,10.93
1-Jul-76,11.14
1-Jun-76,11.01
1-May-76,11.18
1-Apr-76,11.5
1-Mar-76,11.67
1-Feb-76,11.93
1-Jan-76,11.83
1-Dec-75,11.14
1-Nov-75,11.42
1-Oct-75,11.31
1-Sep-75,10.91
1-Aug-75,10.95
1-Jul-75,11.72
1-Jun-75,11.61
1-May-75,11.1
1-Apr-75,10.22
1-Mar-75,9.91
1-Feb-75,9.31
1-Jan-75,8.3
1-Dec-74,7.54
1-Nov-74,8.01
1-Oct-74,7.68
1-Sep-74,7.48
1-Aug-74,8.46
1-Jul-74,8.95
1-Jun-74,10.27
1-May-74,10.41
1-Apr-74,10.89
1-Mar-74,11.66
1-Feb-74,11.27
1-Jan-74,11.68
1-Dec-73,11.62
1-Nov-73,12.75
1-Oct-73,13.99
1-Sep-73,13.73
1-Aug-73,13.77
1-Jul-73,14.34
1-Jun-73,14.5
1-May-73,15.12
1-Apr-73,15.89
1-Mar-73,16.53
1-Feb-73,17.12
1-Jan-73,18.08
1-Dec-72,18.3
1-Nov-72,18.18
1-Oct-72,17.59
1-Sep-72,17.82
1-Aug-72,18.26
1-Jul-72,17.78
1-Jun-72,18.09
1-May-72,18.19
1-Apr-72,18.57
1-Mar-72,18.54
1-Feb-72,18.23
1-Jan-72,18
1-Dec-71,17.4
1-Nov-71,16.54
1-Oct-71,17.63
1-Sep-71,18.31
1-Aug-71,18.04
1-Jul-71,18.47
1-Jun-71,18.74
1-May-71,19.21
1-Apr-71,19.62
1-Mar-71,19.08
1-Feb-71,18.71
1-Jan-71,18.12
1-Dec-70,17.55
1-Nov-70,16.18
1-Oct-70,15.98
1-Sep-70,15.41
1-Aug-70,14.4
1-Jul-70,13.84
1-Jun-70,13.69
1-May-70,13.68
1-Apr-70,15.38
1-Mar-70,15.75
1-Feb-70,15.35
1-Jan-70,15.76
1-Dec-69,15.76
1-Nov-69,16.53
1-Oct-69,16.33
1-Sep-69,16.05
1-Aug-69,16.04
1-Jul-69,16.16
1-Jun-69,16.98
1-May-69,17.94
1-Apr-69,17.38
1-Mar-69,17.06
1-Feb-69,17.5
1-Jan-69,17.65
1-Dec-68,18.49
1-Nov-68,18.39
1-Oct-68,18.24
1-Sep-68,17.9
1-Aug-68,17.43
1-Jul-68,17.91
1-Jun-68,18.04
1-May-68,17.7
1-Apr-68,17.46
1-Mar-68,16.38
1-Feb-68,16.81
1-Jan-68,17.7
1-Dec-67,17.88
1-Nov-67,17.42
1-Oct-67,18.02
1-Sep-67,18.08
1-Aug-67,17.79
1-Jul-67,17.48
1-Jun-67,17.15
1-May-67,17.24
1-Apr-67,16.81
1-Mar-67,16.41
1-Feb-67,15.94
1-Jan-67,15.3
1-Dec-66,14.65
1-Nov-66,14.62
1-Oct-66,13.97
1-Sep-66,14.12
1-Aug-66,14.69
1-Jul-66,15.66
1-Jun-66,15.76
1-May-66,16.01
1-Apr-66,17.03
1-Mar-66,16.64
1-Feb-66,17.52
1-Jan-66,17.81
1-Dec-65,17.67
